,Source,Target
9,Tencent,Ubisoft
13,SoftBank,WeWork
41,Galaxy Digital,Terra
46,Digital Currency Group,Wyre
51,Apple,Zomato
56,Google,SpaceX
73,Tencent,Swiggy
78,Techstars,Tive
88,Techstars,Twilio
93,Zomato,UrbanPiper
98,Tencent,Tesla
108,Tencent,Xiaohongshu
123,Evotec,Sanofi
192,Tencent,Satellogic
222,Samsung Electronics,SoftBank
229,8VC,Vontive
254,Google,Stripe
259,The Boeing Company,SparkCognition
275,Citi,Wonderschool
280,Tencent,Uber
290,Kristal.AI,Stockal
295,Blockchain Capital,Securitize
328,Alibaba Group,Snapdeal
358,SoftBank,Sorare
368,Tencent,TrueLayer
376,Digital Currency Group,Worldcoin
381,500 Startups,Shippo
408,Argo Blockchain,WonderFi
428,MoonPay,Yuga Labs
445,Seedcamp,Viz
455,8VC,Socotra
465,Zip,ZestMoney
480,8VC,Twingate
505,500 Startups,ShearShare
540,Accenture,SkyHive
616,Careem,SWVL Technologies
626,Digital Currency Group,Yield Guild Games Southeast Asia
649,Intel,Volocopter
667,Shopify,Yotpo
676,Tencent,Tile
705,Citi,Upwork
715,Zoom,Theta Lake
735,Silver Lake,SenseTime
745,Ola,Vogo
751,Tencent,Spotify
771,Techstars,Vested Finance
812,SoftBank,Treasure Data
817,SoftBank,ShipBob
832,OurCrowd,Wave
837,Northern Arc,slice
857,SenseTime,WeRide
870,Techstars,Upsie
880,Delivery Hero,tabby
885,Silver Lake,Talend
922,Techstars,Veho
932,Silver Lake,Zynga
960,SoftBank,Solarisbank
965,Juniper Networks,Vectra
970,8VC,Yugabyte
977,Schneider Electric,Sense
982,Northern Arc,UpScalio
1000,500 Startups,Thrive Agric
1014,Flipkart,Shadowfax
1019,Tencent,Voodoo
1029,UST,Trulioo
1038,Lighter Capital,Stylitics
1053,Anthemis Group,Skuad
1061,IIFL Wealth Management,Toothsi
1081,Anthemis Group,Sydecar
1086,Techstars,TradeLanes
1111,Stripe,Stellar Development Foundation
1121,Animoca Brands,Yield Guild Games
1126,Silver Lake,Zuora
1131,Citi,Xerox
1136,Anthemis Group,Seedcamp
1150,Nokia,Team8
1158,Tencent Music Entertainment,Warner Music Group
1177,Coil,Uphold
1181,SoftBank,SoFi
1191,SoftBank,WME
1199,Silver Lake,TAL Education Group
1220,Tech Coast Angels,Tech Coast Angels
1222,Cisco,Startupbootcamp
1227,2TM,TC - TradersClub
1246,500 Startups,The Family
1251,Silver Lake,Splunk
1266,Tencent,Yintai Group
1269,Zomato,Shiprocket
1280,Spotify,Tencent Music Entertainment
1288,Groupon,StartX (Stanford-StartX Fund)
1305,Aphria,Sol Global investments
1306,Cisco,Stellaris Venture Partners
1308,Accenture,Youth Business International
1320,Apple,Ramp
1339,Seedcamp,Grover
