,Source,Target
0,IDG Capital,Tencent
1, Prosus & Naspers,Tencent
2, Lippo Group,Tencent
3, PCCW,Tencent
9,Tencent,Ubisoft
10, JP Morgan Chase,Ubisoft
11, Ontario Teachers' Pension Plan,Ubisoft
12, Electronic Arts,Ubisoft
13,SoftBank,WeWork
28,RRE Ventures,Techstars
29, Foundry Group,Techstars
30, Mercury,Techstars
31, Silicon Valley Bank,Techstars
32, IA Ventures,Techstars
41,Galaxy Digital,Terra
46,Digital Currency Group,Wyre
51,Apple,Zomato
52, Sequoia Capital,Zomato
53, Info Edge,Zomato
54, Tiger Global Management,Zomato
55, Ant Group,Zomato
56,Google,SpaceX
66,Elliott Management,SAP
67, EASME - EU Executive Agency for SMEs,SAP
73,Tencent,Swiggy
74, SoftBank,Swiggy
75, Meituan,Swiggy
76, Invesco,Swiggy
77, Goldman Sachs,Swiggy
78,Techstars,Tive
88,Techstars,Twilio
89, 500 Startups,Twilio
90, Union Square Ventures,Twilio
91, Fidelity,Twilio
92, Redpoint,Twilio
93,Zomato,UrbanPiper
98,Tencent,Tesla
108,Tencent,Xiaohongshu
123,Evotec,Sanofi
160,Ashika Soni,Samsung Electronics
161,Insight Partners,Shopify
162, OMERS Ventures,Shopify
163, FirstMark,Shopify
164, Bessemer Venture Partners,Shopify
165, Felicis Ventures,Shopify
192,Tencent,Satellogic
220,Zaffiro Ventures,Venture Catalysts
221, Raj Sareen,Venture Catalysts
222,Samsung Electronics,SoftBank
223, Tiger Global Management,SoftBank
226,Mubadala,Silver Lake
227, Dyal Capital Partners,Silver Lake
228, Ikhlas Capital,Silver Lake
229,8VC,Vontive
234,Sequoia Capital,Zoom
235, Qualcomm Ventures,Zoom
236, DCVC,Zoom
237, Horizons Ventures,Zoom
238, AME Cloud Ventures,Zoom
254,Google,Stripe
255, Sequoia Capital,Stripe
256, Andreessen Horowitz,Stripe
257, General Catalyst,Stripe
258, Y Combinator,Stripe
259,The Boeing Company,SparkCognition
274,European regional development fund (ERDF),Startup Wise Guys
275,Citi,Wonderschool
280,Tencent,Uber
290,Kristal.AI,Stockal
295,Blockchain Capital,Securitize
328,Alibaba Group,Snapdeal
358,SoftBank,Sorare
368,Tencent,TrueLayer
376,Digital Currency Group,Worldcoin
381,500 Startups,Shippo
408,Argo Blockchain,WonderFi
428,MoonPay,Yuga Labs
445,Seedcamp,Viz
455,8VC,Socotra
465,Zip,ZestMoney
480,8VC,Twingate
505,500 Startups,ShearShare
540,Accenture,SkyHive
616,Careem,SWVL Technologies
626,Digital Currency Group,Yield Guild Games Southeast Asia
649,Intel,Volocopter
654,Temasek Holdings,UST
667,Shopify,Yotpo
672,Westpac,Zip
673, National Australia Bank (NAB),Zip
674, Victory Park Capital,Zip
675, FIIG Securities,Zip
676,Tencent,Tile
705,Citi,Upwork
715,Zoom,Theta Lake
735,Silver Lake,SenseTime
736, CICC,SenseTime
737, IDG Capital,SenseTime
738, Qualcomm,SenseTime
739, Tiger Global Management,SenseTime
745,Ola,Vogo
750,Citibank,The Walt Disney Company
751,Tencent,Spotify
752, Goldman Sachs,Spotify
753, TPG,Spotify
754, Accel,Spotify
755, Fidelity,Spotify
771,Techstars,Vested Finance
812,SoftBank,Treasure Data
817,SoftBank,ShipBob
832,OurCrowd,Wave
837,Northern Arc,slice
857,SenseTime,WeRide
870,Techstars,Upsie
880,Delivery Hero,tabby
885,Silver Lake,Talend
922,Techstars,Veho
932,Silver Lake,Zynga
960,SoftBank,Solarisbank
965,Juniper Networks,Vectra
970,8VC,Yugabyte
977,Schneider Electric,Sense
982,Northern Arc,UpScalio
1000,500 Startups,Thrive Agric
1014,Flipkart,Shadowfax
1019,Tencent,Voodoo
1029,UST,Trulioo
1038,Lighter Capital,Stylitics
1053,Anthemis Group,Skuad
1061,IIFL Wealth Management,Toothsi
1081,Anthemis Group,Sydecar
1086,Techstars,TradeLanes
1111,Stripe,Stellar Development Foundation
1121,Animoca Brands,Yield Guild Games
1126,Silver Lake,Zuora
1131,Citi,Xerox
1132, JP Morgan Chase,Xerox
1133, Goldman Sachs,Xerox
1134, Credit Suisse,Xerox
1135, Merrill Lynch,Xerox
1136,Anthemis Group,Seedcamp
1137, Venrex,Seedcamp
1138, Balderton Capital,Seedcamp
1139, LocalGlobe,Seedcamp
1140, DN Capital,Seedcamp
1150,Nokia,Team8
1151, Accenture,Team8
1152, Microsoft,Team8
1153, AT&T,Team8
1154, Qualcomm,Team8
1156,Idinvest Partners,Schneider Electric
1157, California State Water Resources Control Board,Schneider Electric
1158,Tencent Music Entertainment,Warner Music Group
1159,Caisse de Depot et Placement du Quebec,Sedgwick Claims Management Services
1160, Canada Pension Plan Investment Board,Sedgwick Claims Management Services
1161,JP Morgan Chase,The Boeing Company
1162, Citibank,The Boeing Company
1163, Merrill Lynch,The Boeing Company
1164, Pierce,The Boeing Company
1165, Fenner & Smith,The Boeing Company
1166, Inc.,The Boeing Company
1167,Third Prime,SeedInvest
1168, Great Oaks Venture Capital,SeedInvest
1169, Scout Ventures,SeedInvest
1170, Krillion Ventures,SeedInvest
1171, Archangel,SeedInvest
1177,Coil,Uphold
1181,SoftBank,SoFi
1182, Silver Lake,SoFi
1183, Morgan Stanley,SoFi
1184, QED Investors,SoFi
1185, Founders Fund,SoFi
1191,SoftBank,WME
1194,Andreessen Horowitz,Slack
1195, Spark Capital,Slack
1196, FundersClub,Slack
1197, GV,Slack
1198, Initialized Capital,Slack
1199,Silver Lake,TAL Education Group
1215,Lightspeed Venture Partners,Wintermute Trading
1216, Hack VC,Wintermute Trading
1217, Kenetic,Wintermute Trading
1218, Pantera Capital,Wintermute Trading
1219, FBG Capital,Wintermute Trading
1220,Tech Coast Angels,Tech Coast Angels
1222,Cisco,Startupbootcamp
1226,TNB Financial Services,Visa
1227,2TM,TC - TradersClub
1246,500 Startups,The Family
1251,Silver Lake,Splunk
1252, Hellman & Friedman,Splunk
1253, TCV,Splunk
1254, August Capital,Splunk
1255, Ignition Partners,Splunk
1266,Tencent,Yintai Group
1269,Zomato,Shiprocket
1280,Spotify,Tencent Music Entertainment
1281, Hermitage Capital,Tencent Music Entertainment
1282, Balyasny Asset Management,Tencent Music Entertainment
1288,Groupon,StartX (Stanford-StartX Fund)
1305,Aphria,Sol Global investments
1306,Cisco,Stellaris Venture Partners
1308,Accenture,Youth Business International
1317,Venrock,Intel
1318, Arthur Rock & Co,Intel
1319, Max Palevsky,Intel
1320,Apple,Ramp
1330,Apollo,Liquidity
1331, Spark Capital,Liquidity
1332, MUFG Bank,Liquidity
1333, MUFG Innovation Partners,Liquidity
1334,Eric Eisner,MoonPay
1335, Revels Group Ventures,MoonPay
1336, Gibson Hazard,MoonPay
1337, Brie Larson,MoonPay
1338, Vivie-ann Bakos,MoonPay
1339,Seedcamp,Grover
1344,Tencent,Lyft
1345, Andreessen Horowitz,Lyft
1346, Rakuten,Lyft
1347, Alibaba Group,Lyft
1348, M13,Lyft
1349,Berkshire Hathaway,HP
1350,Animoca Brands,Polygon
1355,Microsoft,Meta
1356, Greylock,Meta
1357, Tiger Global Management,Meta
1358, Accel,Meta
1359, Founders Fund,Meta
1374,Swiggy,Rapido
1379,TPG,Lenovo
1380, General Atlantic,Lenovo
1381, Legend Holdings,Lenovo
1382, Chinese Academy Of Sciences,Lenovo
1383, The Parent Company,Lenovo
1384,Flipkart,Pine Labs
1399,Sequoia Capital,Okta
1400, Andreessen Horowitz,Okta
1401, Greylock,Okta
1402, Khosla Ventures,Okta
1403, Floodgate,Okta
1404,Google,Niantic
1405, Spark Capital,Niantic
1406, Coatue,Niantic
1407, Founders Fund,Niantic
1408, Nintendo,Niantic
1409,Animoca Brands,Nothing
1424,LetsVenture,PhableCare
1434,SoftBank,Ola Electric
1439,Tencent,PhonePe
1443,Microsoft,Laiye
1448,Xerox,LinkSquares
1458,Gemini,LayerZero Labs
1468,Microsoft,OpenAI
1471,500 Startups,Pipefy
1485,Tencent,NIO
1490,Tencent,Qonto
1495,Institutional Venture Partners,Netflix
1496, TCV,Netflix
1497, Foundation Capital,Netflix
1498, Groupe Arnault,Netflix
1499, Comdisco Ventures,Netflix
1505,500 Startups,MURAL
1512,Amber Group,NEAR Protocol
1547,SoftBank,OYO
1552,Tencent,Omnipresent
1562,8VC,Mojo Vision
1567,SoftBank,PlayVS
1577,Ripple,Nium
1591,Netflix,Roku
1606,Tencent,Jeeves
1616,Okta,Pipe
1626,Techstars,Pixxel
1641,European Investment Bank,Nokia
1642, Nordic Investment Bank,Nokia
1643,Tencent,Riot Games
1652,Silver Lake,Motorola Solutions
1663,SoftBank,Roche
1664, Novartis,Roche
1665, SCALE AI,Roche
1666,SoftBank,OfBusiness
1667, Norwest Venture Partners,OfBusiness
1668, Tiger Global Management,OfBusiness
1669, SoftBank Vision Fund,OfBusiness
1670, Alpha Wave Global,OfBusiness
1683,Tencent,Roblox
1716,DoorDash,Roofstock
1726,Garage Capital,OpenPhone
1741,Tencent,Lunar
1746,LeapFrog Investments,Northern Arc
1747, Standard Chartered Bank,Northern Arc
1748, Kotak Mahindra Bank,Northern Arc
1749, Eight Roads Ventures,Northern Arc
1750, Affirma Capital,Northern Arc
1751,Digital Currency Group,Ledger
1783,Tencent,Rakuten
1784, Walmart,Rakuten
1785, Intel Capital,Rakuten
1786, MVI (MENA Venture Investments),Rakuten
1787, Japan Post Holdings,Rakuten
1788,Berkshire Hathaway,Kroger
1794,Venture Catalysts,Instoried
1809,500 Startups,Intercom
1824,Advantage Capital,Medtronic
1827,Tencent,Krafton
1837,Blockchain Capital,Parallel Finance
1842,Citi,Hopper
1862,Google,Planet
1867,Animoca Brands,GOQii
1872,Digital Currency Group,Lightning Labs
1877,Technology Venture Investors,Microsoft
1878,8VC,Omni
1893,Farfetch,Neiman Marcus Group
1894,Silver Lake,Reliance Retail
1904,Tencent,GoTo Group
1925,SoftBank,OneWeb
1935,Tencent,Meituan
1959,The Walt Disney Company,Hulu
1967,Team8,Noogata
1971,Crowdcube,Miso Robotics
1988,Techstars,Remitly
1998,SoFi,Partake Foods
2008,Tencent,JD Logistics
2028,Lyft,ID.me
2033,Ubisoft,Overwolf
2051,AngelList,OPEN
2076,CICC,LanzaTech
2091,Sequoia Capital,Nazara Technologies
2092, Westbridge Capital,Nazara Technologies
2093, IIFL Asset Management,Nazara Technologies
2094, ESL Gaming,Nazara Technologies
2095, Rajeev Chitrabhanu (MAGNETIC),Nazara Technologies
2110,Startup Wise Guys,Montonio
2138,Amber Group,Mina
2143,Kraken,Prime Trust
2173,Revolution,Lucid
2183,Animoca Brands,OpenSea
2193,OurCrowd,Near
2203,Massachusetts Institute of Technology,Sales Impact Academy
2208,CICC,Nreal
2218,Flipkart,GreyOrange
2223,Warburg Pincus,Ola
2224, Tencent,Ola
2225, SoftBank,Ola
2226, Yes Bank,Ola
2227, Tiger Global Management,Ola
2263,Navi Technologies,Infra.Market
2273,Northern Arc,ReshaMandi
2294,Silver Lake,Iterable
2299,Zoom,monday.com
2304,Amber Group,RockX
2324,Techstars,Preply
2344,Goldman Sachs,Mirae Asset Global Investments
2345, Naver,Mirae Asset Global Investments
2346, Deutsche Bank,Mirae Asset Global Investments
2384,European Investment Bank,Orange
2385,SAP,Icertis
2390,Accel,LetsVenture
2391, Times Internet,LetsVenture
2392, Girish Mathrubootham,LetsVenture
2393, Chiratae Ventures,LetsVenture
2394, Rohit Bansal,LetsVenture
2395,Alchemist Accelerator,MoEngage
2400,Gojo & Company,MyShubhLife
2420,Seedcamp,Pleo
2430,Digital Currency Group,OXIO
2440,Tencent,Pocket FM
2450,New Enterprise Associates,Juniper Networks
2451, Kleiner Perkins,Juniper Networks
2473,Tencent,GoStudent
2483,Tencent,GrowSari
2506,ByteDance,Li Auto
2511,Animoca Brands,GuildFi
2516,Mirae Asset Global Investments,Naver
2517,500 Startups,Kin Insurance
2527,FundersClub,Grin
2542,Renren,Poplar Homes
2562,Tencent,Pinduoduo
2572,Tech Coast Angels,Mindbody
2582,International Finance Corporation,Navi Technologies
2583, Sachin Bansal,Navi Technologies
2584, Gaja Capital,Navi Technologies
2585, Ankit Agarwal,Navi Technologies
2586, Samit Shetty,Navi Technologies
2597,Seedcamp,Revolut
2602,ParaFi Capital,Rarible
2632,Tencent,Practo
2637,500 Startups,RiseUp
2642,Techstars,Novo
2647,ICONIUM,Huobi
2648, ZhenFund,Huobi
2649, Node Capital,Huobi
2650, Karnika Yashwant,Huobi
2661,Tencent,QuintoAndar
2666,Eurazeo,Onfido
2711,GlaxoSmithKline,LifeMine Therapeutics
2720,Silver Lake,Groupon
2721, Andreessen Horowitz,Groupon
2722, Greylock,Groupon
2723, Fidelity,Groupon
2724, Accel,Groupon
2725,Tencent,Lilium
2766,Techstars,Nautilus Labs
2794,Liquid 2 Ventures,IUNU
2804,AMC Theatres,Hycroft Mining
2806,Founders Factory,Perlego
2816,Digital Currency Group,Ripple
2817, Blockchain Capital,Ripple
2818, Andreessen Horowitz,Ripple
2819, Accenture,Ripple
2820, IDG Capital,Ripple
2824,SoftBank Vision Fund,OurCrowd
2825, United Overseas Bank,OurCrowd
2826, UOB Venture,OurCrowd
2827, ORIX Group,OurCrowd
2828, Steven Blumgart,OurCrowd
2839,Zoom,Observe.AI
2844,SoftBank,Grab
2849,Dyal Capital Partners,H.I.G. Capital
2850,Temasek Holdings,LeapFrog Investments
2851,KSV Global,Pattern
2852, Knox Lane,Pattern
2853, Banner Ventures,Pattern
2854, Duchossois Capital Management,Pattern
2855, Carlson Private Capital Partners,Pattern
2856,Chiratae Ventures,Kristal.AI
2857, Shailesh Rao,Kristal.AI
2858, Desai Family Office.,Kristal.AI
2859, sudhanshu sanadhya,Kristal.AI
2860, Amit Gupta,Kristal.AI
2866,Bain Capital,IIFL Wealth Management
2867, General Atlantic,IIFL Wealth Management
2868, Brand Capital,IIFL Wealth Management
2874,Massachusetts Life Sciences Center,Massachusetts Institute of Technology
2875, Massachusetts Clean Energy Center,Massachusetts Institute of Technology
2876, U.S. Food and Drug Administration,Massachusetts Institute of Technology
2877, Stephen Schwarzman,Massachusetts Institute of Technology
2878, Ludwig Cancer Research,Massachusetts Institute of Technology
2879,Digital Currency Group,Kraken
2880, Blockchain Capital,Kraken
2881, Tribe Capital,Kraken
2882, Hummingbird Ventures,Kraken
2883, BnkToTheFuture,Kraken
2889,Northleaf Capital Partners,NewSpring
2890, 17Capital LLP,NewSpring
2891, Velocity Structured Solutions,NewSpring
2893,Fortress Investment Group,Mogo
2894, Difference Capital,Mogo
2895,Great West Lifeco,Northleaf Capital Partners
2896, Mackenzie Investments,Northleaf Capital Partners
2897,PLDT,Rocket Internet
2898, Global Founders Capital,Rocket Internet
2899, United Internet Ventures,Rocket Internet
2900, HV Capital,Rocket Internet
2901, Access Industries,Rocket Internet
2907,Dragonfly Capital Partners,ParaFi Capital
2908, Augmentum Fintech,ParaFi Capital
2909, 9Yards Capital,ParaFi Capital
2910, Bain Capital Ventures,ParaFi Capital
2911, Mark Ladd,ParaFi Capital
2912,Tiger Global Management,Moglix
2913, Accel,Moglix
2914, Jungle Ventures,Moglix
2915, Bessemer Venture Partners,Moglix
2916, Sequoia Capital India,Moglix
2917,Silicon Valley Bank,Molten Ventures
2918, Ireland Strategic Investment Fund,Molten Ventures
2919,Wavemaker Partners,PLDT
2920, U.S. Trade and Development Agency,PLDT
2921,Pattern,Route
2938,Endeavor,Latitud
2939, Andreessen Horowitz,Latitud
2940, Canary,Latitud
2941, FJ Labs,Latitud
2942, NFX,Latitud
2949,Google,JD.com
2954,Allianz,October
2955, Partech,October
2956, Intesa Sanpaolo,October
2957, European Investment Bank,October
2958, Idinvest Partners,October
2959,Credit Suisse,Lighter Capital
2960, Silicon Valley Bank,Lighter Capital
